,source,destination
0,queue-master,rabbitmq
1,shipping,rabbitmq
2,front-end,session-db
3,carts,carts-db
4,catalogue,catalogue-db
5,orders,orders-db
6,user,user-db
7,front-end,user
8,orders,user
9,front-end,carts
10,orders,carts
11,front-end,catalogue
12,front-end,orders
13,orders,payment
14,orders,shipping
15,user,home-cluster-node1
16,user-db,home-cluster-node2
17,carts,home-cluster-node2
18,carts-db,home-cluster-node1
19,orders-db,home-cluster-node1
20,payment,home-cluster-node2
21,catalogue,home-cluster-node3
22,front-end,home-cluster-node3
23,catalogue-db,home-cluster-node1
24,rabbitmq,home-cluster-node1
25,shipping,home-cluster-node3
26,orders,home-cluster-node2
27,queue-master,home-cluster-node3
28,session-db,home-cluster-node2
