,source,destination
0,fanout-5,fanout-5-db
1,orders,orders-db
2,user,user-db
3,shipping,rabbitmq
4,queue-master,rabbitmq
5,carts,carts-db
6,fanout-1,fanout-1-db
7,fanout-3,fanout-3-db
8,fanout-4,fanout-4-db
9,front-end,session-db
10,catalogue,catalogue-db
11,fanout-2,fanout-2-db
12,front-end,orders
13,orders,payment
14,orders,shipping
15,front-end,user
16,orders,user
17,front-end,carts
18,orders,carts
19,front-end,catalogue
20,catalogue-db,home-cluster-node1
21,orders,home-cluster-node2
22,user,home-cluster-node1
23,carts,home-cluster-node2
24,carts-db,home-cluster-node1
25,payment,home-cluster-node2
26,shipping,home-cluster-node3
27,user-db,home-cluster-node2
28,catalogue,home-cluster-node3
29,front-end,home-cluster-node3
30,rabbitmq,home-cluster-node1
31,orders-db,home-cluster-node1
32,queue-master,home-cluster-node3
33,session-db,home-cluster-node2
