,source,destination
0,carts,carts-db
1,catalogue,catalogue-db
2,orders,orders-db
3,user,user-db
4,queue-master,rabbitmq
5,shipping,rabbitmq
6,front-end,session-db
7,front-end,orders
8,orders,payment
9,orders,shipping
10,front-end,user
11,orders,user
12,front-end,carts
13,orders,carts
14,front-end,catalogue
15,shipping,node3
16,user,node1
17,user-db,node2
18,queue-master,node3
19,session-db,node1
20,catalogue,node2
21,front-end,node1
22,orders-db,node2
23,payment,node1
24,carts,node3
25,carts-db,node1
26,catalogue-db,node2
27,orders,node3
28,rabbitmq,node2
