,source,destination
0,carts,carts-db
1,catalogue,catalogue-db
2,orders,orders-db
3,user,user-db
4,queue-master,rabbitmq
5,shipping,rabbitmq
6,front-end,session-db
7,front-end,user
8,orders,user
9,front-end,carts
10,orders,carts
11,front-end,catalogue
12,front-end,orders
13,orders,payment
14,orders,shipping
15,catalogue-db,home-cluster-node1
16,orders,home-cluster-node2
17,rabbitmq,home-cluster-node1
18,user,home-cluster-node1
19,carts-db,home-cluster-node1
20,catalogue,home-cluster-node3
21,front-end,home-cluster-node3
22,payment,home-cluster-node2
23,queue-master,home-cluster-node3
24,session-db,home-cluster-node2
25,shipping,home-cluster-node3
26,user-db,home-cluster-node2
27,carts,home-cluster-node2
28,orders-db,home-cluster-node1
