,source,destination
0,user,user-db
1,queue-master,rabbitmq
2,shipping,rabbitmq
3,front-end,session-db
4,carts,carts-db
5,catalogue,catalogue-db
6,orders,orders-db
7,orders,payment
8,orders,shipping
9,front-end,user
10,orders,user
11,front-end,carts
12,orders,carts
13,front-end,catalogue
14,front-end,orders
15,catalogue,home-cluster-node3
16,shipping,home-cluster-node3
17,carts-db,home-cluster-node1
18,orders-db,home-cluster-node1
19,payment,home-cluster-node2
20,session-db,home-cluster-node2
21,front-end,home-cluster-node3
22,queue-master,home-cluster-node3
23,user-db,home-cluster-node2
24,catalogue-db,home-cluster-node1
25,orders,home-cluster-node2
26,rabbitmq,home-cluster-node1
27,user,home-cluster-node1
28,carts,home-cluster-node2
