,source,destination
0,catalogue,catalogue-db
1,orders,orders-db
2,user,user-db
3,queue-master,rabbitmq
4,shipping,rabbitmq
5,front-end,session-db
6,carts,carts-db
7,orders,user
8,front-end,carts
9,orders,carts
10,front-end,catalogue
11,front-end,orders
12,orders,payment
13,orders,shipping
14,front-end,user
15,rabbitmq,home-cluster-node1
16,carts-db,home-cluster-node1
17,catalogue,home-cluster-node3
18,front-end,home-cluster-node3
19,orders-db,home-cluster-node1
20,catalogue-db,home-cluster-node1
21,orders,home-cluster-node2
22,queue-master,home-cluster-node3
23,session-db,home-cluster-node2
24,carts,home-cluster-node2
25,payment,home-cluster-node2
26,user-db,home-cluster-node2
27,shipping,home-cluster-node3
28,user,home-cluster-node1
