NODE SUMMARY
service,in_edges,out_edges,num_in,num_out,num_out-in,num_invo-in,num_invo-out,num_invo-in-avg,num_invo-out-avg,num_invo-in-var,num_invo-out-var,num_anomalous_in,num_anomalous_out
order,"[('admin-order', 'order', {'num_invo': 89}), ('cancel', 'order', {'num_invo': 42}), ('gateway', 'order', {'num_invo': 108}), ('inside-payment', 'order', {'num_invo': 30}), ('preserve', 'order', {'num_invo': 6}), ('seat', 'order', {'num_invo': 46}), ('security', 'order', {'num_invo': 17}), ('travel', 'order', {'num_invo': 22})]","[('order', 'station', {'num_invo': 74})]",8,1,-7,360,74,45.0,n/a,1121.75,n/a,0,0
order-other,"[('admin-order', 'order-other', {'num_invo': 87}), ('cancel', 'order-other', {'num_invo': 11}), ('gateway', 'order-other', {'num_invo': 107}), ('inside-payment', 'order-other', {'num_invo': 8}), ('preserve-other', 'order-other', {'num_invo': 2}), ('seat', 'order-other', {'num_invo': 14}), ('security', 'order-other', {'num_invo': 16}), ('travel2', 'order-other', {'num_invo': 2})]","[('order-other', 'station', {'num_invo': 65})]",8,1,-7,247,65,30.875,n/a,1504.609375,n/a,0,0
station,"[('basic', 'station', {'num_invo': 358}), ('food', 'station', {'num_invo': 39}), ('order', 'station', {'num_invo': 74}), ('order-other', 'station', {'num_invo': 65}), ('preserve', 'station', {'num_invo': 6}), ('travel-plan', 'station', {'num_invo': 5})]",[],6,0,-6,547,0,91.16666666666667,n/a,14929.805555555553,n/a,0,0
travel,"[('food', 'travel', {'num_invo': 24}), ('gateway', 'travel', {'num_invo': 10}), ('preserve', 'travel', {'num_invo': 3}), ('route-plan', 'travel', {'num_invo': 21}), ('seat', 'travel', {'num_invo': 100})]","[('travel', 'order', {'num_invo': 22}), ('travel', 'route', {'num_invo': 119}), ('travel', 'seat', {'num_invo': 28}), ('travel', 'ticketinfo', {'num_invo': 151}), ('travel', 'train', {'num_invo': 80})]",5,5,0,158,400,31.6,80.0,1226.64,2526.0,0,0
seat,"[('preserve', 'seat', {'num_invo': 8}), ('preserve-other', 'seat', {'num_invo': 1}), ('travel', 'seat', {'num_invo': 28}), ('travel-plan', 'seat', {'num_invo': 17}), ('travel2', 'seat', {'num_invo': 6})]","[('seat', 'config', {'num_invo': 60}), ('seat', 'order', {'num_invo': 46}), ('seat', 'order-other', {'num_invo': 14}), ('seat', 'travel', {'num_invo': 100}), ('seat', 'travel2', {'num_invo': 22})]",5,5,0,60,242,12.0,48.4,90.8,936.64,0,0
ticketinfo,"[('preserve', 'ticketinfo', {'num_invo': 5}), ('preserve-other', 'ticketinfo', {'num_invo': 1}), ('travel', 'ticketinfo', {'num_invo': 151}), ('travel-plan', 'ticketinfo', {'num_invo': 26}), ('travel2', 'ticketinfo', {'num_invo': 29})]","[('ticketinfo', 'basic', {'num_invo': 213})]",5,1,-4,212,213,42.4,n/a,3071.0399999999995,n/a,0,0
route,"[('basic', 'route', {'num_invo': 37}), ('travel', 'route', {'num_invo': 119}), ('travel2', 'route', {'num_invo': 28})]",[],3,0,-3,184,0,61.333333333333336,n/a,1676.2222222222224,n/a,0,0
train,"[('basic', 'train', {'num_invo': 36}), ('travel', 'train', {'num_invo': 80}), ('travel2', 'train', {'num_invo': 19})]",[],3,0,-3,135,0,45.0,n/a,660.6666666666666,n/a,0,0
notification,"[('cancel', 'notification', {'num_invo': 7}), ('preserve', 'notification', {'num_invo': 13}), ('preserve-other', 'notification', {'num_invo': 3})]",[],3,0,-3,23,0,7.666666666666667,n/a,16.88888888888889,n/a,0,0
user,"[('cancel', 'user', {'num_invo': 12}), ('preserve', 'user', {'num_invo': 13}), ('preserve-other', 'user', {'num_invo': 3})]",[],3,0,-3,28,0,9.333333333333334,n/a,20.222222222222225,n/a,0,0
food,"[('gateway', 'food', {'num_invo': 46, 'anomalous': True, 'selected_features': ['latency', 'http_status']}), ('preserve', 'food', {'num_invo': 11}), ('preserve-other', 'food', {'num_invo': 3})]","[('food', 'food-map', {'num_invo': 42, 'anomalous': True, 'selected_features': ['latency', 'cpu_use']}), ('food', 'station', {'num_invo': 39}), ('food', 'travel', {'num_invo': 24})]",3,3,0,60,105,20.0,35.0,348.6666666666667,62.0,1,1
assurance,"[('gateway', 'assurance', {'num_invo': 82}), ('preserve', 'assurance', {'num_invo': 8}), ('preserve-other', 'assurance', {'num_invo': 4})]",[],3,0,-3,94,0,31.333333333333332,n/a,1286.2222222222224,n/a,0,0
travel2,"[('preserve-other', 'travel2', {'num_invo': 2}), ('route-plan', 'travel2', {'num_invo': 12}), ('seat', 'travel2', {'num_invo': 22})]","[('travel2', 'order-other', {'num_invo': 2}), ('travel2', 'route', {'num_invo': 28}), ('travel2', 'seat', {'num_invo': 6}), ('travel2', 'ticketinfo', {'num_invo': 29}), ('travel2', 'train', {'num_invo': 19})]",3,5,2,36,84,12.0,16.8,66.66666666666667,122.96000000000001,0,0
verification-code,"[('auth', 'verification-code', {'num_invo': 22, 'anomalous': True, 'selected_features': ['latency']}), ('gateway', 'verification-code', {'num_invo': 168})]",[],2,0,-2,190,0,95.0,n/a,5329.0,n/a,1,0
inside-payment,"[('cancel', 'inside-payment', {'num_invo': 14}), ('gateway', 'inside-payment', {'num_invo': 21})]","[('inside-payment', 'order', {'num_invo': 30}), ('inside-payment', 'order-other', {'num_invo': 8}), ('inside-payment', 'payment', {'num_invo': 18})]",2,3,1,35,56,17.5,18.666666666666668,12.25,80.8888888888889,0,0
contacts,"[('gateway', 'contacts', {'num_invo': 93}), ('preserve', 'contacts', {'num_invo': 2})]",[],2,0,-2,95,0,47.5,n/a,2070.25,n/a,0,0
admin-order,"[('gateway', 'admin-order', {'num_invo': 150})]","[('admin-order', 'order', {'num_invo': 89}), ('admin-order', 'order-other', {'num_invo': 87})]",1,2,1,150,176,n/a,88.0,n/a,1.0,0,0
auth,"[('gateway', 'auth', {'num_invo': 45})]","[('auth', 'verification-code', {'num_invo': 22, 'anomalous': True, 'selected_features': ['latency']})]",1,1,0,45,22,n/a,n/a,n/a,n/a,0,1
basic,"[('ticketinfo', 'basic', {'num_invo': 213})]","[('basic', 'price', {'num_invo': 35}), ('basic', 'route', {'num_invo': 37}), ('basic', 'station', {'num_invo': 358}), ('basic', 'train', {'num_invo': 36})]",1,4,3,213,466,n/a,116.5,n/a,19441.25,0,0
price,"[('basic', 'price', {'num_invo': 35})]",[],1,0,-1,35,0,n/a,n/a,n/a,n/a,0,0
cancel,"[('gateway', 'cancel', {'num_invo': 42})]","[('cancel', 'inside-payment', {'num_invo': 14}), ('cancel', 'notification', {'num_invo': 7}), ('cancel', 'order', {'num_invo': 42}), ('cancel', 'order-other', {'num_invo': 11}), ('cancel', 'user', {'num_invo': 12})]",1,5,4,42,86,n/a,17.2,n/a,158.95999999999998,0,0
food-map,"[('food', 'food-map', {'num_invo': 42, 'anomalous': True, 'selected_features': ['latency', 'cpu_use']})]",[],1,0,-1,42,0,n/a,n/a,n/a,n/a,1,0
consign,"[('gateway', 'consign', {'num_invo': 14})]",[],1,0,-1,14,0,n/a,n/a,n/a,n/a,0,0
preserve,"[('gateway', 'preserve', {'num_invo': 16})]","[('preserve', 'assurance', {'num_invo': 8}), ('preserve', 'contacts', {'num_invo': 2}), ('preserve', 'food', {'num_invo': 11}), ('preserve', 'notification', {'num_invo': 13}), ('preserve', 'order', {'num_invo': 6}), ('preserve', 'seat', {'num_invo': 8}), ('preserve', 'security', {'num_invo': 2}), ('preserve', 'station', {'num_invo': 6}), ('preserve', 'ticketinfo', {'num_invo': 5}), ('preserve', 'travel', {'num_invo': 3}), ('preserve', 'user', {'num_invo': 13})]",1,11,10,16,77,n/a,7.0,n/a,14.727272727272727,0,0
preserve-other,"[('gateway', 'preserve-other', {'num_invo': 6})]","[('preserve-other', 'assurance', {'num_invo': 4}), ('preserve-other', 'food', {'num_invo': 3}), ('preserve-other', 'notification', {'num_invo': 3}), ('preserve-other', 'order-other', {'num_invo': 2}), ('preserve-other', 'seat', {'num_invo': 1}), ('preserve-other', 'ticketinfo', {'num_invo': 1}), ('preserve-other', 'travel2', {'num_invo': 2}), ('preserve-other', 'user', {'num_invo': 3})]",1,8,7,6,19,n/a,2.375,n/a,0.984375,0,0
travel-plan,"[('gateway', 'travel-plan', {'num_invo': 14})]","[('travel-plan', 'route-plan', {'num_invo': 3}), ('travel-plan', 'seat', {'num_invo': 17}), ('travel-plan', 'station', {'num_invo': 5}), ('travel-plan', 'ticketinfo', {'num_invo': 26})]",1,4,3,14,51,n/a,12.75,n/a,87.1875,0,0
ts-ui-dashboard,"[('gateway', 'ts-ui-dashboard', {'num_invo': 233})]",[],1,0,-1,233,0,n/a,n/a,n/a,n/a,0,0
payment,"[('inside-payment', 'payment', {'num_invo': 18})]",[],1,0,-1,18,0,n/a,n/a,n/a,n/a,0,0
security,"[('preserve', 'security', {'num_invo': 2})]","[('security', 'order', {'num_invo': 17}), ('security', 'order-other', {'num_invo': 16})]",1,2,1,2,33,n/a,16.5,n/a,0.25,0,0
route-plan,"[('travel-plan', 'route-plan', {'num_invo': 3})]","[('route-plan', 'travel', {'num_invo': 21}), ('route-plan', 'travel2', {'num_invo': 12})]",1,2,1,3,33,n/a,16.5,n/a,20.25,0,0
config,"[('seat', 'config', {'num_invo': 60})]",[],1,0,-1,60,0,n/a,n/a,n/a,n/a,0,0
gateway,[],"[('gateway', 'admin-order', {'num_invo': 150}), ('gateway', 'assurance', {'num_invo': 82}), ('gateway', 'auth', {'num_invo': 45}), ('gateway', 'cancel', {'num_invo': 42}), ('gateway', 'consign', {'num_invo': 14}), ('gateway', 'contacts', {'num_invo': 93}), ('gateway', 'food', {'num_invo': 46, 'anomalous': True, 'selected_features': ['latency', 'http_status']}), ('gateway', 'inside-payment', {'num_invo': 21}), ('gateway', 'order', {'num_invo': 108}), ('gateway', 'order-other', {'num_invo': 107}), ('gateway', 'preserve', {'num_invo': 16}), ('gateway', 'preserve-other', {'num_invo': 6}), ('gateway', 'travel', {'num_invo': 10}), ('gateway', 'travel-plan', {'num_invo': 14}), ('gateway', 'ts-ui-dashboard', {'num_invo': 233}), ('gateway', 'verification-code', {'num_invo': 168})]",0,16,16,0,1155,n/a,72.1875,n/a,4203.27734375,0,1

EDGE SUMMARY
source,target,num_invo,anomalous,selected_features
admin-order,order,89,0,
admin-order,order-other,87,0,
order,station,74,0,
order-other,station,65,0,
auth,verification-code,22,1,['latency']
basic,price,35,0,
basic,route,37,0,
basic,station,358,0,
basic,train,36,0,
cancel,inside-payment,14,0,
cancel,notification,7,0,
cancel,order,42,0,
cancel,order-other,11,0,
cancel,user,12,0,
inside-payment,order,30,0,
inside-payment,order-other,8,0,
inside-payment,payment,18,0,
food,food-map,42,1,"['latency', 'cpu_use']"
food,station,39,0,
food,travel,24,0,
travel,order,22,0,
travel,route,119,0,
travel,seat,28,0,
travel,ticketinfo,151,0,
travel,train,80,0,
gateway,admin-order,150,0,
gateway,assurance,82,0,
gateway,auth,45,0,
gateway,cancel,42,0,
gateway,consign,14,0,
gateway,contacts,93,0,
gateway,food,46,1,"['latency', 'http_status']"
gateway,inside-payment,21,0,
gateway,order,108,0,
gateway,order-other,107,0,
gateway,preserve,16,0,
gateway,preserve-other,6,0,
gateway,travel,10,0,
gateway,travel-plan,14,0,
gateway,ts-ui-dashboard,233,0,
gateway,verification-code,168,0,
preserve,assurance,8,0,
preserve,contacts,2,0,
preserve,food,11,0,
preserve,notification,13,0,
preserve,order,6,0,
preserve,seat,8,0,
preserve,security,2,0,
preserve,station,6,0,
preserve,ticketinfo,5,0,
preserve,travel,3,0,
preserve,user,13,0,
preserve-other,assurance,4,0,
preserve-other,food,3,0,
preserve-other,notification,3,0,
preserve-other,order-other,2,0,
preserve-other,seat,1,0,
preserve-other,ticketinfo,1,0,
preserve-other,travel2,2,0,
preserve-other,user,3,0,
travel-plan,route-plan,3,0,
travel-plan,seat,17,0,
travel-plan,station,5,0,
travel-plan,ticketinfo,26,0,
seat,config,60,0,
seat,order,46,0,
seat,order-other,14,0,
seat,travel,100,0,
seat,travel2,22,0,
security,order,17,0,
security,order-other,16,0,
ticketinfo,basic,213,0,
travel2,order-other,2,0,
travel2,route,28,0,
travel2,seat,6,0,
travel2,ticketinfo,29,0,
travel2,train,19,0,
route-plan,travel,21,0,
route-plan,travel2,12,0,
