NODE SUMMARY
service,in_edges,out_edges,num_in,num_out,num_out-in,num_invo-in,num_invo-out,num_invo-in-avg,num_invo-out-avg,num_invo-in-var,num_invo-out-var,num_anomalous_in,num_anomalous_out
travel,"[('food', 'travel', {'num_invo': 30}), ('gateway', 'travel', {'num_invo': 6}), ('route-plan', 'travel', {'num_invo': 6}), ('seat', 'travel', {'num_invo': 57})]","[('travel', 'order', {'num_invo': 18}), ('travel', 'route', {'num_invo': 106}), ('travel', 'seat', {'num_invo': 33}), ('travel', 'ticketinfo', {'num_invo': 128}), ('travel', 'train', {'num_invo': 45})]",4,5,1,99,330,24.75,66.0,442.6875,1855.6,0,0
order,"[('gateway', 'order', {'num_invo': 20}), ('seat', 'order', {'num_invo': 36}), ('security', 'order', {'num_invo': 15}), ('travel', 'order', {'num_invo': 18})]","[('order', 'station', {'num_invo': 19})]",4,1,-3,89,19,22.25,n/a,66.1875,n/a,0,0
route,"[('basic', 'route', {'num_invo': 21}), ('travel', 'route', {'num_invo': 106}), ('travel2', 'route', {'num_invo': 12})]",[],3,0,-3,139,0,46.333333333333336,n/a,1793.5555555555554,n/a,0,0
station,"[('basic', 'station', {'num_invo': 185}), ('food', 'station', {'num_invo': 60}), ('order', 'station', {'num_invo': 19})]",[],3,0,-3,264,0,88.0,n/a,4984.666666666667,n/a,0,0
order-other,"[('gateway', 'order-other', {'num_invo': 23, 'anomalous': True, 'selected_features': ['http_status']}), ('security', 'order-other', {'num_invo': 15, 'anomalous': True, 'selected_features': ['http_status']}), ('travel2', 'order-other', {'num_invo': 5, 'anomalous': True, 'selected_features': ['http_status']})]",[],3,0,-3,43,0,14.333333333333334,n/a,54.22222222222223,n/a,3,0
verification-code,"[('auth', 'verification-code', {'num_invo': 36}), ('gateway', 'verification-code', {'num_invo': 161})]",[],2,0,-2,197,0,98.5,n/a,3906.25,n/a,0,0
train,"[('basic', 'train', {'num_invo': 21}), ('travel', 'train', {'num_invo': 45})]",[],2,0,-2,66,0,33.0,n/a,144.0,n/a,0,0
ticketinfo,"[('travel', 'ticketinfo', {'num_invo': 128}), ('travel2', 'ticketinfo', {'num_invo': 12})]","[('ticketinfo', 'basic', {'num_invo': 130})]",2,1,-1,140,130,70.0,n/a,3364.0,n/a,0,0
auth,"[('gateway', 'auth', {'num_invo': 38})]","[('auth', 'verification-code', {'num_invo': 36})]",1,1,0,38,36,n/a,n/a,n/a,n/a,0,0
basic,"[('ticketinfo', 'basic', {'num_invo': 130})]","[('basic', 'price', {'num_invo': 20}), ('basic', 'route', {'num_invo': 21}), ('basic', 'station', {'num_invo': 185}), ('basic', 'train', {'num_invo': 21})]",1,4,3,130,247,n/a,61.75,n/a,5063.6875,0,0
price,"[('basic', 'price', {'num_invo': 20})]",[],1,0,-1,20,0,n/a,n/a,n/a,n/a,0,0
food,"[('gateway', 'food', {'num_invo': 32})]","[('food', 'food-map', {'num_invo': 61}), ('food', 'station', {'num_invo': 60}), ('food', 'travel', {'num_invo': 30})]",1,3,2,32,151,n/a,50.333333333333336,n/a,206.88888888888889,0,0
food-map,"[('food', 'food-map', {'num_invo': 61})]",[],1,0,-1,61,0,n/a,n/a,n/a,n/a,0,0
assurance,"[('gateway', 'assurance', {'num_invo': 42})]",[],1,0,-1,42,0,n/a,n/a,n/a,n/a,0,0
consign,"[('gateway', 'consign', {'num_invo': 11})]",[],1,0,-1,11,0,n/a,n/a,n/a,n/a,0,0
contacts,"[('gateway', 'contacts', {'num_invo': 43})]",[],1,0,-1,43,0,n/a,n/a,n/a,n/a,0,0
preserve,"[('gateway', 'preserve', {'num_invo': 17, 'anomalous': True, 'selected_features': ['http_status']})]","[('preserve', 'security', {'num_invo': 16, 'anomalous': True, 'selected_features': ['http_status']})]",1,1,0,17,16,n/a,n/a,n/a,n/a,1,1
travel-plan,"[('gateway', 'travel-plan', {'num_invo': 6, 'anomalous': True, 'selected_features': ['http_status']})]","[('travel-plan', 'route-plan', {'num_invo': 4, 'anomalous': True, 'selected_features': ['http_status']})]",1,1,0,6,4,n/a,n/a,n/a,n/a,1,1
ts-ui-dashboard,"[('gateway', 'ts-ui-dashboard', {'num_invo': 24})]",[],1,0,-1,24,0,n/a,n/a,n/a,n/a,0,0
security,"[('preserve', 'security', {'num_invo': 16, 'anomalous': True, 'selected_features': ['http_status']})]","[('security', 'order', {'num_invo': 15}), ('security', 'order-other', {'num_invo': 15, 'anomalous': True, 'selected_features': ['http_status']})]",1,2,1,16,30,n/a,15.0,n/a,0.0,1,1
route-plan,"[('travel-plan', 'route-plan', {'num_invo': 4, 'anomalous': True, 'selected_features': ['http_status']})]","[('route-plan', 'travel', {'num_invo': 6}), ('route-plan', 'travel2', {'num_invo': 6, 'anomalous': True, 'selected_features': ['http_status']})]",1,2,1,4,12,n/a,6.0,n/a,0.0,1,1
travel2,"[('route-plan', 'travel2', {'num_invo': 6, 'anomalous': True, 'selected_features': ['http_status']})]","[('travel2', 'order-other', {'num_invo': 5, 'anomalous': True, 'selected_features': ['http_status']}), ('travel2', 'route', {'num_invo': 12}), ('travel2', 'ticketinfo', {'num_invo': 12})]",1,3,2,6,29,n/a,9.666666666666666,n/a,10.888888888888888,1,1
seat,"[('travel', 'seat', {'num_invo': 33})]","[('seat', 'config', {'num_invo': 35}), ('seat', 'order', {'num_invo': 36}), ('seat', 'travel', {'num_invo': 57})]",1,3,2,33,128,n/a,42.666666666666664,n/a,102.8888888888889,0,0
config,"[('seat', 'config', {'num_invo': 35})]",[],1,0,-1,35,0,n/a,n/a,n/a,n/a,0,0
gateway,[],"[('gateway', 'assurance', {'num_invo': 42}), ('gateway', 'auth', {'num_invo': 38}), ('gateway', 'consign', {'num_invo': 11}), ('gateway', 'contacts', {'num_invo': 43}), ('gateway', 'food', {'num_invo': 32}), ('gateway', 'order', {'num_invo': 20}), ('gateway', 'order-other', {'num_invo': 23, 'anomalous': True, 'selected_features': ['http_status']}), ('gateway', 'preserve', {'num_invo': 17, 'anomalous': True, 'selected_features': ['http_status']}), ('gateway', 'travel', {'num_invo': 6}), ('gateway', 'travel-plan', {'num_invo': 6, 'anomalous': True, 'selected_features': ['http_status']}), ('gateway', 'ts-ui-dashboard', {'num_invo': 24}), ('gateway', 'verification-code', {'num_invo': 161})]",0,12,12,0,423,n/a,35.25,n/a,1589.8541666666667,0,3

EDGE SUMMARY
source,target,num_invo,anomalous,selected_features
auth,verification-code,36,0,
basic,price,20,0,
basic,route,21,0,
basic,station,185,0,
basic,train,21,0,
food,food-map,61,0,
food,station,60,0,
food,travel,30,0,
travel,order,18,0,
travel,route,106,0,
travel,seat,33,0,
travel,ticketinfo,128,0,
travel,train,45,0,
gateway,assurance,42,0,
gateway,auth,38,0,
gateway,consign,11,0,
gateway,contacts,43,0,
gateway,food,32,0,
gateway,order,20,0,
gateway,order-other,23,1,['http_status']
gateway,preserve,17,1,['http_status']
gateway,travel,6,0,
gateway,travel-plan,6,1,['http_status']
gateway,ts-ui-dashboard,24,0,
gateway,verification-code,161,0,
order,station,19,0,
preserve,security,16,1,['http_status']
travel-plan,route-plan,4,1,['http_status']
security,order,15,0,
security,order-other,15,1,['http_status']
route-plan,travel,6,0,
route-plan,travel2,6,1,['http_status']
travel2,order-other,5,1,['http_status']
travel2,route,12,0,
travel2,ticketinfo,12,0,
seat,config,35,0,
seat,order,36,0,
seat,travel,57,0,
ticketinfo,basic,130,0,
