NODE SUMMARY
service,in_edges,out_edges,num_in,num_out,num_out-in,num_invo-in,num_invo-out,num_invo-in-avg,num_invo-out-avg,num_invo-in-var,num_invo-out-var,num_anomalous_in,num_anomalous_out
order,"[('admin-order', 'order', {'num_invo': 3}), ('seat', 'order', {'num_invo': 34}), ('travel', 'order', {'num_invo': 8})]",[],3,0,-3,45,0,15.0,n/a,184.66666666666666,n/a,0,0
route,"[('basic', 'route', {'num_invo': 11}), ('travel', 'route', {'num_invo': 89}), ('travel2', 'route', {'num_invo': 9})]",[],3,0,-3,109,0,36.333333333333336,n/a,1387.5555555555554,n/a,0,0
train,"[('basic', 'train', {'num_invo': 17}), ('travel', 'train', {'num_invo': 47}), ('travel2', 'train', {'num_invo': 18})]",[],3,0,-3,82,0,27.333333333333332,n/a,193.55555555555557,n/a,0,0
travel,"[('gateway', 'travel', {'num_invo': 7}), ('route-plan', 'travel', {'num_invo': 5}), ('seat', 'travel', {'num_invo': 68})]","[('travel', 'order', {'num_invo': 8}), ('travel', 'route', {'num_invo': 89}), ('travel', 'seat', {'num_invo': 20}), ('travel', 'ticketinfo', {'num_invo': 97}), ('travel', 'train', {'num_invo': 47})]",3,5,2,80,261,26.666666666666668,52.2,854.8888888888888,1275.76,0,0
seat,"[('travel', 'seat', {'num_invo': 20}), ('travel-plan', 'seat', {'num_invo': 13}), ('travel2', 'seat', {'num_invo': 5})]","[('seat', 'config', {'num_invo': 32}), ('seat', 'order', {'num_invo': 34}), ('seat', 'order-other', {'num_invo': 4}), ('seat', 'travel', {'num_invo': 68}), ('seat', 'travel2', {'num_invo': 14})]",3,5,2,38,152,12.666666666666666,30.4,37.55555555555556,479.0400000000001,0,0
ticketinfo,"[('travel', 'ticketinfo', {'num_invo': 97}), ('travel-plan', 'ticketinfo', {'num_invo': 18}), ('travel2', 'ticketinfo', {'num_invo': 9})]","[('ticketinfo', 'basic', {'num_invo': 97})]",3,1,-2,124,97,41.333333333333336,n/a,1562.8888888888887,n/a,0,0
order-other,"[('admin-order', 'order-other', {'num_invo': 2}), ('seat', 'order-other', {'num_invo': 4})]",[],2,0,-2,6,0,3.0,n/a,1.0,n/a,0,0
station,"[('basic', 'station', {'num_invo': 158}), ('travel-plan', 'station', {'num_invo': 6})]",[],2,0,-2,164,0,82.0,n/a,5776.0,n/a,0,0
travel2,"[('route-plan', 'travel2', {'num_invo': 3}), ('seat', 'travel2', {'num_invo': 14})]","[('travel2', 'route', {'num_invo': 9}), ('travel2', 'seat', {'num_invo': 5}), ('travel2', 'ticketinfo', {'num_invo': 9}), ('travel2', 'train', {'num_invo': 18})]",2,4,2,17,41,8.5,10.25,30.25,22.6875,0,0
admin-order,"[('gateway', 'admin-order', {'num_invo': 3})]","[('admin-order', 'order', {'num_invo': 3}), ('admin-order', 'order-other', {'num_invo': 2})]",1,2,1,3,5,n/a,2.5,n/a,0.25,0,0
basic,"[('ticketinfo', 'basic', {'num_invo': 97})]","[('basic', 'price', {'num_invo': 13}), ('basic', 'route', {'num_invo': 11}), ('basic', 'station', {'num_invo': 158}), ('basic', 'train', {'num_invo': 17})]",1,4,3,97,199,n/a,49.75,n/a,3910.6875,0,0
price,"[('basic', 'price', {'num_invo': 13})]",[],1,0,-1,13,0,n/a,n/a,n/a,n/a,0,0
assurance,"[('gateway', 'assurance', {'num_invo': 70, 'anomalous': True, 'selected_features': ['http_status']})]",[],1,0,-1,70,0,n/a,n/a,n/a,n/a,1,0
auth,"[('gateway', 'auth', {'num_invo': 67, 'anomalous': True, 'selected_features': ['latency', 'http_status']})]",[],1,0,-1,67,0,n/a,n/a,n/a,n/a,1,0
travel-plan,"[('gateway', 'travel-plan', {'num_invo': 3})]","[('travel-plan', 'route-plan', {'num_invo': 2}), ('travel-plan', 'seat', {'num_invo': 13}), ('travel-plan', 'station', {'num_invo': 6}), ('travel-plan', 'ticketinfo', {'num_invo': 18})]",1,4,3,3,39,n/a,9.75,n/a,38.1875,0,0
ts-ui-dashboard,"[('gateway', 'ts-ui-dashboard', {'num_invo': 25, 'anomalous': True, 'selected_features': ['http_status']})]",[],1,0,-1,25,0,n/a,n/a,n/a,n/a,1,0
verification-code,"[('gateway', 'verification-code', {'num_invo': 384})]",[],1,0,-1,384,0,n/a,n/a,n/a,n/a,0,0
route-plan,"[('travel-plan', 'route-plan', {'num_invo': 2})]","[('route-plan', 'travel', {'num_invo': 5}), ('route-plan', 'travel2', {'num_invo': 3})]",1,2,1,2,8,n/a,4.0,n/a,1.0,0,0
config,"[('seat', 'config', {'num_invo': 32})]",[],1,0,-1,32,0,n/a,n/a,n/a,n/a,0,0
gateway,[],"[('gateway', 'admin-order', {'num_invo': 3}), ('gateway', 'assurance', {'num_invo': 70, 'anomalous': True, 'selected_features': ['http_status']}), ('gateway', 'auth', {'num_invo': 67, 'anomalous': True, 'selected_features': ['latency', 'http_status']}), ('gateway', 'travel', {'num_invo': 7}), ('gateway', 'travel-plan', {'num_invo': 3}), ('gateway', 'ts-ui-dashboard', {'num_invo': 25, 'anomalous': True, 'selected_features': ['http_status']}), ('gateway', 'verification-code', {'num_invo': 384})]",0,7,7,0,559,n/a,79.85714285714286,n/a,16128.122448979588,0,3

EDGE SUMMARY
source,target,num_invo,anomalous,selected_features
admin-order,order,3,0,
admin-order,order-other,2,0,
basic,price,13,0,
basic,route,11,0,
basic,station,158,0,
basic,train,17,0,
gateway,admin-order,3,0,
gateway,assurance,70,1,['http_status']
gateway,auth,67,1,"['latency', 'http_status']"
gateway,travel,7,0,
gateway,travel-plan,3,0,
gateway,ts-ui-dashboard,25,1,['http_status']
gateway,verification-code,384,0,
travel,order,8,0,
travel,route,89,0,
travel,seat,20,0,
travel,ticketinfo,97,0,
travel,train,47,0,
travel-plan,route-plan,2,0,
travel-plan,seat,13,0,
travel-plan,station,6,0,
travel-plan,ticketinfo,18,0,
route-plan,travel,5,0,
route-plan,travel2,3,0,
travel2,route,9,0,
travel2,seat,5,0,
travel2,ticketinfo,9,0,
travel2,train,18,0,
seat,config,32,0,
seat,order,34,0,
seat,order-other,4,0,
seat,travel,68,0,
seat,travel2,14,0,
ticketinfo,basic,97,0,
