,source,destination
0,chain-2,chain-db
1,chain-4,chain-db
2,chain-5,chain-db
3,chain-8,chain-db
4,chain-9,chain-db
5,chain-1,chain-db
6,chain-10,chain-db
7,chain-3,chain-db
8,chain-6,chain-db
9,chain-7,chain-db
10,chain-8,chain-9
11,chain-9,chain-10
12,chain-3,chain-4
13,chain-5,chain-6
14,chain-7,chain-8
15,chain-6,chain-7
16,gateway,chain-1
17,chain-1,chain-2
18,chain-2,chain-3
19,chain-4,chain-5
20,chain-db,home-cluster-node1
21,chain-1,home-cluster-node3
22,chain-2,home-cluster-node2
23,chain-7,home-cluster-node2
24,chain-5,home-cluster-node1
25,chain-6,home-cluster-node2
26,chain-8,home-cluster-node3
27,chain-9,home-cluster-node1
28,gateway,home-cluster-node1
29,chain-10,home-cluster-node3
30,chain-3,home-cluster-node1
31,chain-4,home-cluster-node3
