,source,destination
0,fanout-11,fanout-db
1,fanout-6,fanout-db
2,fanout-7,fanout-db
3,fanout-9,fanout-db
4,fanout-1,fanout-db
5,fanout-3,fanout-db
6,fanout-14,fanout-db
7,fanout-5,fanout-db
8,fanout-8,fanout-db
9,fanout-12,fanout-db
10,fanout-13,fanout-db
11,fanout-2,fanout-db
12,fanout-4,fanout-db
13,fanout-10,fanout-db
14,fanout-15,fanout-db
15,gateway,fanout-1
16,gateway,fanout-10
17,gateway,fanout-11
18,gateway,fanout-2
19,gateway,fanout-5
20,gateway,fanout-12
21,gateway,fanout-6
22,gateway,fanout-7
23,gateway,fanout-14
24,gateway,fanout-8
25,gateway,fanout-13
26,gateway,fanout-15
27,gateway,fanout-3
28,gateway,fanout-4
29,gateway,fanout-9
30,fanout-db,home-cluster-node1
31,fanout-13,home-cluster-node3
32,fanout-15,home-cluster-node2
33,fanout-2,home-cluster-node1
34,fanout-3,home-cluster-node2
35,fanout-6,home-cluster-node2
36,gateway,home-cluster-node1
37,fanout-12,home-cluster-node2
38,fanout-11,home-cluster-node1
39,fanout-14,home-cluster-node1
40,fanout-5,home-cluster-node1
41,fanout-7,home-cluster-node3
42,fanout-8,home-cluster-node2
43,fanout-9,home-cluster-node1
44,fanout-1,home-cluster-node3
45,fanout-4,home-cluster-node3
46,fanout-10,home-cluster-node3
