,source,destination
0,carts,carts-db
1,catalogue,catalogue-db
2,orders,orders-db
3,user,user-db
4,queue-master,rabbitmq
5,shipping,rabbitmq
6,front-end,session-db
7,front-end,catalogue
8,front-end,orders
9,orders,payment
10,orders,shipping
11,front-end,user
12,orders,user
13,front-end,carts
14,orders,carts
15,session-db,node1
16,shipping,node3
17,user,node1
18,front-end,node1
19,queue-master,node3
20,rabbitmq,node2
21,carts-db,node1
22,payment,node1
23,orders,node3
24,orders-db,node2
25,user-db,node2
26,carts,node3
27,catalogue,node2
28,catalogue-db,node2
