,source,destination
0,front-end,session-db
1,carts,carts-db
2,catalogue,catalogue-db
3,orders,orders-db
4,user,user-db
5,queue-master,rabbitmq
6,shipping,rabbitmq
7,front-end,catalogue
8,front-end,orders
9,orders,payment
10,orders,shipping
11,front-end,user
12,orders,user
13,front-end,carts
14,orders,carts
15,user-db,node2-k8s-v2
16,catalogue,node1-k8s-v2
17,catalogue-db,node3-k8s-v2
18,queue-master,node2-k8s-v2
19,payment,node1-k8s-v2
20,rabbitmq,node3-k8s-v2
21,session-db,node2-k8s-v2
22,shipping,node1-k8s-v2
23,user,node3-k8s-v2
24,carts,node2-k8s-v2
25,front-end,node2-k8s-v2
26,orders-db,node3-k8s-v2
27,orders,node1-k8s-v2
28,carts-db,node3-k8s-v2
