,source,destination
0,shipping,rabbitmq
1,front-end,session-db
2,carts,carts-db
3,catalogue,catalogue-db
4,orders,orders-db
5,user,user-db
6,queue-master,rabbitmq
7,orders,user
8,front-end,carts
9,orders,carts
10,front-end,catalogue
11,front-end,orders
12,orders,payment
13,orders,shipping
14,front-end,user
15,session-db,home-cluster-node2
16,user,home-cluster-node1
17,carts,home-cluster-node2
18,carts-db,home-cluster-node1
19,catalogue,home-cluster-node3
20,payment,home-cluster-node2
21,queue-master,home-cluster-node3
22,catalogue-db,home-cluster-node1
23,front-end,home-cluster-node3
24,shipping,home-cluster-node3
25,orders-db,home-cluster-node1
26,rabbitmq,home-cluster-node1
27,orders,home-cluster-node2
28,user-db,home-cluster-node2
