,source,destination
0,carts,carts-db
1,catalogue,catalogue-db
2,orders,orders-db
3,user,user-db
4,queue-master,rabbitmq
5,shipping,rabbitmq
6,front-end,session-db
7,orders,user
8,front-end,carts
9,orders,carts
10,front-end,catalogue
11,front-end,orders
12,orders,payment
13,orders,shipping
14,front-end,user
15,carts-db,home-cluster-node1
16,catalogue,home-cluster-node3
17,orders-db,home-cluster-node1
18,payment,home-cluster-node2
19,rabbitmq,home-cluster-node1
20,user,home-cluster-node1
21,carts,home-cluster-node2
22,catalogue-db,home-cluster-node1
23,orders,home-cluster-node2
24,session-db,home-cluster-node2
25,shipping,home-cluster-node3
26,queue-master,home-cluster-node3
27,user-db,home-cluster-node2
28,front-end,home-cluster-node3
