,source,destination
0,catalogue,catalogue-db
1,fanout-4,fanout-4-db
2,orders,orders-db
3,shipping,rabbitmq
4,queue-master,rabbitmq
5,carts,carts-db
6,fanout-2,fanout-2-db
7,fanout-3,fanout-3-db
8,fanout-5,fanout-5-db
9,user,user-db
10,front-end,session-db
11,fanout-1,fanout-1-db
12,front-end,carts
13,orders,carts
14,front-end,catalogue
15,front-end,orders
16,orders,payment
17,orders,shipping
18,front-end,user
19,orders,user
20,carts-db,home-cluster-node1
21,orders,home-cluster-node2
22,orders-db,home-cluster-node1
23,rabbitmq,home-cluster-node1
24,catalogue,home-cluster-node3
25,queue-master,home-cluster-node3
26,user-db,home-cluster-node2
27,carts,home-cluster-node2
28,catalogue-db,home-cluster-node1
29,front-end,home-cluster-node3
30,payment,home-cluster-node2
31,session-db,home-cluster-node2
32,shipping,home-cluster-node3
33,user,home-cluster-node1
