root_cause_service,fault_type,fault_date,num_nodes,num_edges,num_anomalous_edges,weight_edges,weight_anomalous_edges,num_traces,num_anomalous_traces,num_unique_traces,num_unique_anomalous_traces,localizedat
admin-order,abort,1011,30,62,4,5253,2338,4531,2337,17,3,1
admin-order,abort,1015,31,67,1,4039,1346,3291,1346,40,1,1
admin-order,cpu,1014,35,85,6,2252,181,1190,150,41,15,1
admin-order,cpu,1016,34,85,1,3062,161,1006,161,29,1,1
assurance,abort,1011,21,35,2,876,52,372,52,9,2,1
assurance,abort,1015,22,36,2,1872,75,692,75,13,2,1
assurance,cpu,1012,32,78,6,2688,208,1224,140,59,38,1
assurance,cpu,1016,34,83,3,3575,91,1253,91,45,9,1
assurance,delay,1010,32,70,6,2384,123,1321,117,31,8,1
assurance,delay,1014,32,76,8,2575,139,1187,128,44,19,1
auth,abort,1011,18,29,2,807,149,560,149,6,2,1
auth,abort,1015,19,31,3,1385,270,793,270,12,3,1
auth,cpu,1012,19,33,3,3422,210,733,210,28,3,3
auth,cpu,1016,25,45,2,1558,118,459,118,18,2,2
auth,delay,1010,19,31,3,1698,195,655,195,11,3,1
auth,delay,1014,20,32,3,912,161,559,161,9,3,2
basic,abort,1011,9,10,6,228,65,164,20,5,2,1
basic,abort,1015,9,10,6,375,119,257,35,5,2,1
basic,abort,1023,9,10,6,1347,419,1011,133,6,3,2
basic,cpu,1012,32,72,14,2034,336,751,33,36,25,1
basic,cpu,1016,31,66,13,1928,310,703,24,24,12,1
basic,delay,1025,15,19,4,406,87,159,10,8,5,1
cancel,abort,1011,32,72,4,1583,50,526,47,18,2,1
cancel,abort,1015,32,66,1,1922,60,994,60,22,1,1
cancel,abort,1023,31,58,3,735,41,419,41,24,3,1
cancel,cpu,1012,32,81,3,2981,53,1293,53,40,4,1
cancel,cpu,1016,32,75,2,2926,45,1384,45,42,3,1
cancel,delay,1010,34,82,1,2645,36,1116,36,53,2,1
cancel,delay,1014,33,80,4,2945,40,1186,38,36,4,1
cancel,delay,1025,32,59,3,1867,45,1039,40,41,4,1
config,abort,1011,19,25,6,2126,125,695,35,8,3,1
config,abort,1015,16,21,6,1377,96,573,25,8,5,1
config,cpu,1012,32,81,8,2804,117,1061,29,43,20,1
config,cpu,1016,32,71,9,1643,30,1018,11,31,10,1
config,delay,1010,31,67,11,1673,119,661,38,34,21,1
config,delay,1014,28,55,6,1804,62,837,18,20,7,1
config,delay,1025,30,56,6,1158,95,695,40,32,18,2
contacts,abort,1011,24,42,1,1229,75,582,75,12,1,1
contacts,abort,1015,17,22,1,536,45,323,45,7,1,1
contacts,cpu,1014,33,79,5,2448,139,1166,118,55,25,1
contacts,cpu,1016,34,75,3,2697,105,1310,105,49,12,1
contacts,delay,1010,33,81,5,2895,145,1320,139,39,17,1
contacts,delay,1014,33,81,5,2220,86,755,77,19,3,1
food,abort,1011,28,56,3,1283,55,703,53,20,2,1
food,abort,1015,30,60,3,1908,75,788,69,16,2,1
food,cpu,1014,31,69,4,3026,109,1390,108,40,11,1
